mq5,mq9,mq135,humidity,temp,pressure,dust
130.8,112.58,78.39,86,28,986,3.48
131.03,113.86,79.62,86,28,986,3.48
130.8,113.89,78.78,85,28,986,3.49
130.65,112.62,79.09,85,28,986,3.41
130.86,113.21,78.39,85,28,986,3.38
130.62,113,77.96,85,28,986,3.51
130.77,113.22,78.05,85,28,986,3.43
130.77,113.49,78.44,85,28,986,3.53
130.77,113.7,77.41,85,28,985,3.64
131.03,114.33,79.21,85,28,986,3.62
130.86,113.69,78.39,86,28,985,3.36
130.8,112.85,79.41,86,28,986,3.32
130.77,112.09,79.36,86,28,986,3.34
130.71,113.01,78.08,86,28,986,3.38
130.94,113.03,78.59,86,28,985,3.51
130.88,113.43,78.34,86,28,985,3.49
130.65,112.84,78.46,86,28,985,3.54
130.48,112.55,77.17,86,28,985,3.48
130.62,112.27,78.58,86,28,985,3.58
130.65,112.9,77.8,85,28,985,3.4
130.45,112.21,77.14,85,28,985,3.51
130.48,112.25,77.85,85,28,985,3.45
129.52,108.38,77.21,84,28,985,3.3
130.22,109.2,79.36,84,28,985,3.32
130.77,111.67,78.72,84,28,985,3.38
130.1,110.76,76.03,84,28,985,3.56
130.31,111.98,76.78,84,28,985,3.44
130.31,110.8,77.25,84,28,985,3.44
130.8,112.27,80.11,84,28,985,3.67
130.62,112.87,78.7,84,28,985,3.62
130.8,112.44,79.33,85,28,985,3.58
130.57,112.38,77.58,85,28,985,3.52
130.54,111.7,77.3,85,28,985,3.45
130.65,112.56,78.25,85,28,985,3.49
132.83,114.71,84.94,87,28,984,13.77
132.65,114.46,84.46,84,28,984,13.64
131.99,113.37,82.21,84,28,984,12.99
128.19,99.94,82.83,84,28,984,11.53
125.72,91.69,90.92,83,28,984,9.36
126.01,102.24,107.73,83,28,984,9.06
135.15,124.16,123.83,81,28,984,8.91
141.82,127.99,127.97,82,28,984,8.99
144.34,130.21,129.67,82,28,984,8.85
145.85,132.38,131.32,82,28,984,8.9
147.73,133.63,133.1,82,28,984,8.89
147.7,134.86,133.53,82,28,984,8.78
148.4,136.18,134.22,82,28,984,8.69
149.74,137.55,135.33,82,28,984,8.73
149.74,137.76,135.43,82,28,984,8.65
150.63,138.88,136.25,82,28,984,8.63
152.23,143.44,138.06,82,28,984,8.59
153.8,145.3,139.34,82,28,984,8.62
154.46,146.16,139.94,82,28,984,8.6
160.23,148.99,148.64,82,28,984,9.15
142.25,126.88,130.42,82,28,984,8.89
148.95,136.7,135.8,82,28,984,9.01
145.09,126.83,130.81,82,28,984,9.11
142.92,110.32,124.56,82,28,984,9.13
140.98,109.91,119.78,82,28,984,9.6
131.73,103.49,113.74,84,28,984,8.95
145.5,143.15,139.61,82,28,984,9.2
133.5,112.46,118.86,82,28,984,8.95
153.59,150.03,145.37,83,28,985,9.16
140.14,109.03,118.78,82,28,984,9.16
138.13,125.02,130.52,83,28,985,9.37
131.12,93.59,102.72,85,28,984,9.36
132.05,97.39,104.75,85,28,985,9.43
130.97,100.96,110.78,85,28,985,8.93
141.24,121.76,125.94,83,28,985,8.77
139.3,128.58,128.84,83,28,985,8.76
147.53,123.38,130.71,84,28,985,9.01
141.24,126.37,130.62,84,28,985,8.9
148.87,129.45,133.87,84,28,985,9.1
141.76,115.87,124.33,84,28,985,8.9
137,106.07,117.02,84,28,985,9.23
131.96,98.84,110.14,86,28,985,9.1
134.83,108.8,117.58,84,28,985,9.15
133.18,106.53,117.18,84,28,985,8.91
135.35,111.99,121.27,84,28,985,8.81
133.76,102.66,113.59,84,28,985,8.9
142.98,115.9,123.61,84,28,985,9.2
130.13,96.82,108.61,85,28,985,8.75
139.06,109.72,119.44,84,28,985,9.38
134.25,98.71,109.06,84,28,985,9.5
130.62,108.74,87.81,87,28,986,12.9
131.06,109.45,87.38,85,28,986,12.7
131.2,110.56,87,87,28,986,12.43
131.12,109.72,86.56,87,28,986,12.38
131.03,109.43,86.27,87,28,986,12.16
131.03,109.54,86.32,87,28,986,12.09
131.41,110.67,87.59,87,28,986,12.05
131.55,110.96,87.84,87,28,986,12.07
131.55,110.82,88.31,87,28,986,12.04
131.38,110.62,87.87,87,28,986,11.94
131.41,110.39,88.1,87,28,986,11.75
131.58,110.6,87.87,87,28,986,11.56
131.55,110.22,88.06,87,28,986,11.57
131.73,111.19,89.37,86,28,986,11.48
131.73,110.82,87.8,86,28,986,11.33
131.58,110.9,86.73,86,28,986,11.27
131.58,110.02,87.55,87,28,986,11.26
131.73,110.74,89.41,87,28,986,11.12
131.9,110.36,89.42,87,28,987,11.34
132.07,111.36,89.48,87,29,987,11.09
131.64,110.25,89.75,87,29,987,11.15
131.58,109.41,89.83,88,29,987,11.15
131.81,110.41,88.94,88,29,987,11.95
129.46,109.26,93.21,88,28,982,2
129.7,109.46,91.28,86,28,982,2.03
128.68,109.89,86.33,88,28,982,2.01
128.8,109.15,84.23,87,28,982,1.94
127.61,102.31,84.85,87,28,982,1.83
127.29,97.67,89.84,86,28,982,1.85
127.75,94.93,93.82,86,28,982,1.73
127.35,92.45,96.18,86,28,982,1.83
128.94,93.87,102.97,85,28,982,1.59
129.46,94.26,105.86,85,28,982,1.61
130.57,95.07,108.31,85,28,982,2.58
130.71,95.4,109.63,85,28,982,1.48
131.41,95.58,111.22,83,28,982,1.51
133.15,96.98,106.58,83,28,982,1.75
129.35,93.14,101.55,85,28,982,1.77
129.55,93.84,99.93,85,28,982,1.78
128.68,91.8,101.51,86,28,982,1.59
130.77,94.42,106.25,86,28,983,1.5
131.96,95.55,108.11,86,28,982,1.74
131.73,95.71,107.34,86,28,983,1.56
131.78,95.66,107.58,86,28,983,1.55
131.73,95.55,106.79,86,28,983,1.55
132.05,95.87,107.38,86,28,983,1.53
131.58,95.24,109.08,86,28,983,1.55
132.48,95.49,103.42,86,28,983,1.74
129.96,92.71,103.78,86,28,983,1.52
132.31,96.72,110.22,86,28,983,1.57
132.89,96.07,106.56,86,28,983,1.66
131.73,95.86,102.44,87,28,983,1.72
130.13,94.11,103.58,87,28,983,1.57
130.65,94.26,103.39,87,28,983,1.6
130.94,93.59,105.05,87,28,983,1.59
131.73,94.9,107.85,87,28,983,1.48
134.34,98.42,111.11,87,28,983,1.56
131.12,93.48,108.06,87,28,983,1.52
133.73,96.2,110.95,87,28,983,1.52
134.1,97.17,111.37,87,28,983,1.52
132.13,94.3,108.16,87,28,983,1.56
132.42,94.9,108.07,87,28,983,1.56
133.15,97.17,108.83,88,28,983,1.65
132.57,96.82,107.42,88,28,983,1.66
131.2,94.62,104.81,88,28,983,1.73
132.13,96.61,107.95,88,28,983,1.69
127.58,93.2,96.42,88,27,986,1.78
126.56,90.61,95.83,88,28,986,1.79
127.43,92.66,95.73,86,28,986,1.88
127.41,93.59,94.43,88,28,986,1.77
127.87,94.22,96.1,87,28,986,1.78
127.69,96.28,92.58,88,28,986,1.83
126.01,90.37,91.7,88,28,986,1.94
127.2,91.6,95.86,87,28,986,1.77
127.78,92.96,96.11,87,28,986,1.82
126.94,93.05,92.61,87,28,986,1.83
126.77,90.64,95.21,87,28,986,1.85
126.56,89.78,95.38,87,28,986,1.73
126.83,89.35,100.32,87,28,986,1.65
127.52,89.7,99.5,87,28,986,1.73
128.04,92.56,102.8,88,28,986,1.72
127.11,89.35,100.23,87,28,986,1.7
126.83,88.33,99.7,87,28,986,1.72
127.17,89.09,101.75,87,28,986,1.69
127,88.36,101.5,87,28,986,1.64
127.2,89.69,97.16,87,28,986,1.81
126.65,89.03,98.08,87,28,986,1.82
127.17,89.15,100.42,87,28,986,1.69
128.28,91.3,103.44,87,28,986,1.72
126.68,87.65,99.47,87,28,986,1.69
128.45,90.86,104.64,87,28,986,1.79
128.88,92,101.89,87,28,986,1.78
126.07,88.01,95.59,87,28,986,1.72
127.03,89.67,96.38,87,28,986,1.79
127.29,89.72,98.35,87,28,986,2.09
125.52,85.41,97.19,87,28,986,1.6
127.84,89.69,104.09,86,28,986,1.72
129.2,91.96,102.55,86,28,986,1.87
126.77,88.92,98.25,86,28,986,1.9
127.52,90.35,100.3,86,28,986,1.72
127.17,88.89,100.68,87,28,986,1.79
128.1,90.21,102.6,87,28,985,1.82
128.19,91.31,100.78,85,28,985,1.96
128.45,93.25,99.48,85,28,985,1.82
127.17,90.17,97.67,85,28,985,1.91
127.09,89.82,98.2,83,28,985,1.83
132.91,103.85,109.03,77,28,984,2.01
129.55,102.5,90.63,77,28,984,2.03
128.13,99.08,78.08,77,28,984,2.04
121.37,79.15,79.2,166,14,984,1.48
118.01,86.31,97.03,78,28,984,1.47
124.39,108.11,117.34,75,28,984,1.46
129.29,112.82,123.03,75,28,984,1.59
131.87,115.33,126.59,75,28,984,1.4
132.62,115.52,128.28,76,28,984,1.37
132.13,113.57,127.14,75,28,984,1.46
132.83,115.62,128.99,75,28,984,1.39
133.93,118.62,131.12,76,28,984,1.47
133.55,115.68,130.59,75,28,984,1.53
132.31,105.97,128.3,75,28,984,1.6
129.03,95.4,118.56,76,28,984,1.5
125.17,89.24,109.97,75,28,984,1.42
124.82,91.36,111,74,28,984,1.4
125.09,88.11,107.31,73,28,984,1.59
124.97,87.44,105.89,73,28,984,1.51
125.23,90.75,109.49,73,28,984,1.47
126.51,93.73,112.48,73,28,984,1.52
126.25,91.29,110.03,73,28,984,1.56
126.59,92.25,111.33,74,29,984,1.53
123.64,87.51,107.61,74,29,984,1.55
126.59,95.22,114.56,73,28,984,1.52
125.58,91.72,111.84,73,28,984,1.44
125.84,92.48,112.16,72,28,984,1.4
130.71,107.7,125.11,72,28,984,1.39
127.58,95.32,115.51,72,28,984,1.4
127.58,100.66,118.9,73,29,984,1.38
128.01,103.97,120.37,72,28,984,1.63
125.72,92.87,113.62,72,28,984,1.53
131.96,104.34,124.28,72,28,984,1.52
126.94,88.7,108.75,73,29,984,1.47
125.93,88.16,96.17,75,28,984,1.96
124.91,86.89,91.19,76,28,984,1.79
126.33,90.95,92.3,76,28,984,1.72
125.4,89.15,91.18,76,28,984,1.66
126.1,90.07,93.53,76,28,984,1.75
125.23,87.58,92.83,77,28,984,1.65
126.01,90.15,92.66,78,29,984,1.7
126.16,90.86,91,78,29,984,1.99
126.83,92.76,89.74,78,29,984,1.83
126.68,92.68,87.7,78,29,984,1.82
123.4,84.83,90.06,77,28,984,1.57
119.46,88.44,102.17,78,28,984,1.46
129.09,116.44,123.52,76,28,984,1.38
134.92,121.29,130.69,76,29,984,1.4
128.28,100.99,79.4,72,27,983,2.13
128.25,100.92,77.66,70,27,983,2.31
127.69,98.91,74.31,72,27,983,2.05
123.29,84.3,73.36,72,27,983,1.82
120.47,76.72,81.87,72,27,983,1.56
120.76,84.92,99.36,69,27,983,1.6
121.23,87.2,104.78,69,27,983,1.59
123.98,93.9,111.94,70,27,983,1.52
124.07,88.44,110.28,69,27,983,1.52
124.97,93.13,113.8,69,27,983,1.64
125.58,94.9,115.41,70,27,983,1.73
125.9,92.63,114.62,71,28,983,1.48
125.23,94.56,115.27,70,27,983,1.69
125.49,93.39,115.28,71,28,983,3.22
120.59,72.95,89.44,70,27,983,3.3
